Time Step,Colony 0 Area,Colony 0 Population,Colony 0 Resources,Colony 1 Area,Colony 1 Population,Colony 1 Resources,Colony 2 Area,Colony 2 Population,Colony 2 Resources
0,10,5,50,10,5,50,10,5,50
1,16,6,50,16,6,50,15,6,50
2,23,7,60,22,7,60,21,7,60
3,31,8,80,28,8,70,29,8,80
4,39,9,100,36,9,90,36,9,100
5,48,10,130,44,10,110,42,10,110
6,56,11,160,51,11,130,50,11,130
7,65,12,190,58,12,150,57,12,140
8,74,13,230,65,13,170,64,13,160
9,83,14,270,73,14,200,71,14,180
10,93,15,310,82,15,230,79,15,200
11,104,16,360,91,16,270,88,16,230
12,116,17,420,101,17,320,97,17,270
13,127,18,480,111,18,360,105,18,300
14,138,19,540,121,19,410,113,19,330
15,151,20,610,131,20,460,121,20,360
16,164,21,690,142,21,520,129,21,390
17,177,22,770,153,22,580,138,22,420
18,191,23,860,164,23,640,147,23,460
19,206,24,950,174,24,690,157,24,500
20,220,25,1040,185,25,740,167,25,550
21,235,26,1130,196,26,790,177,26,600
22,251,27,1240,207,27,1010,185,26,470
23,266,28,1340,219,28,1070,193,27,500
24,282,29,1450,231,29,1340,198,27,300
25,300,30,1570,243,30,1410,204,28,310
26,318,31,1690,255,31,1480,210,29,310
27,335,32,1810,267,32,1690,213,29,150
28,352,33,1930,278,33,1750,216,30,130
29,368,34,2290,287,33,1730,218,29,30
30,383,35,2460,295,33,1690,220,29,60
31,399,36,2650,302,33,1620,223,29,90
32,415,37,2950,308,33,1440,225,30,60
33,431,38,3210,313,33,1280,227,30,80
34,448,39,3330,318,34,1290,229,31,50
35,464,40,3440,324,35,1300,231,31,70
36,481,41,3550,330,36,1310,233,31,90
37,498,42,3670,335,37,1310,235,32,60
38,515,43,3790,340,38,1310,237,32,80
39,532,44,3910,345,39,1310,239,33,50
40,551,45,4040,350,40,1310,241,33,70
41,569,46,4170,355,41,1310,243,33,90
42,587,47,4290,360,42,1310,245,34,60
43,605,48,4420,364,43,1300,247,34,80
44,623,49,4550,368,44,1290,249,35,50
45,642,50,4680,372,45,1660,249,34,10
46,660,51,4810,377,46,1650,250,34,20
47,678,52,4930,381,47,1640,251,34,30
48,696,53,5060,385,48,1630,252,34,40
49,713,54,5180,389,49,1620,253,34,50
50,730,55,5300,392,50,1600,254,34,60
51,748,56,5430,394,51,1570,255,34,70
52,766,57,5560,396,52,1540,256,34,80
53,783,58,5680,398,53,1510,257,34,90
54,800,59,5790,399,54,1470,258,35,50
55,817,60,5910,400,55,1430,259,35,60
56,834,61,6030,401,56,1390,260,35,70
57,850,62,6700,402,57,1350,259,34,0
58,866,63,6800,403,58,1310,259,34,0
59,883,64,6920,404,59,1270,258,34,0
60,899,65,7030,405,60,1230,258,34,0
61,915,66,7140,406,61,1190,258,34,0
62,932,67,7260,407,62,1150,258,34,0
63,948,68,7370,408,63,1110,258,34,0
64,964,69,7480,409,64,1070,258,34,0
65,981,70,7590,410,65,1030,258,34,0
66,998,71,7700,410,65,990,258,34,0
67,1015,72,7810,410,65,950,258,34,0
68,1030,73,8700,410,65,110,257,34,0
69,1045,74,8820,410,64,90,256,34,0
70,1059,75,8900,410,64,50,256,34,0
71,1072,76,9260,410,63,10,256,34,0
72,1085,77,9330,410,62,20,256,34,0
73,1098,78,9400,410,61,30,256,34,0
74,1111,79,9470,410,60,40,256,34,0
75,1123,80,9540,411,60,50,256,34,0
76,1136,81,9620,411,60,60,256,34,0
77,1148,82,9690,411,60,70,256,34,0
78,1161,83,9750,411,59,80,256,34,0
79,1174,84,9820,411,58,90,256,34,0
80,1187,85,9900,412,59,50,256,34,0
81,1200,86,9980,413,59,60,256,34,0
82,1213,87,10060,414,59,70,256,34,0
83,1227,88,10150,415,59,80,256,34,0
84,1239,89,10220,415,59,80,256,34,0
85,1251,90,10290,415,59,80,256,34,0
86,1263,91,10360,415,59,80,256,34,0
87,1275,92,10430,415,59,80,256,34,0
88,1287,93,10500,415,59,80,256,34,0
89,1299,94,10570,415,59,80,256,34,0
90,1311,95,10640,415,59,80,256,34,0
91,1322,96,10700,415,59,80,256,34,0
92,1331,97,10740,415,59,80,256,34,0
93,1341,98,10790,415,59,80,256,34,0
94,1350,99,10830,415,59,80,256,34,0
95,1359,100,10870,415,59,80,256,34,0
96,1367,101,10900,415,59,80,256,34,0
97,1375,102,10930,415,59,80,256,34,0
98,1383,103,10960,415,59,80,256,34,0
99,1390,104,10980,415,59,80,256,34,0
100,1396,105,10990,415,59,80,256,34,0
101,1402,106,11000,415,59,80,256,34,0
102,1408,107,11010,415,59,80,256,34,0
103,1414,108,11020,414,59,80,256,34,0
104,1419,109,11020,414,59,80,256,34,0
105,1424,110,11020,414,59,80,256,34,0
106,1430,111,11030,413,59,80,256,34,0
107,1434,112,11020,413,59,80,256,34,0
108,1439,113,11020,413,59,80,256,34,0
109,1444,114,11020,413,59,80,256,34,0
110,1449,115,11020,413,59,80,256,34,0
111,1454,116,11020,413,59,80,256,34,0
112,1459,117,11020,413,59,80,256,34,0
113,1464,118,11020,413,59,80,256,34,0
114,1469,119,11020,413,59,80,256,34,0
115,1474,120,11020,413,59,80,256,34,0
116,1479,121,11020,413,59,80,256,34,0
117,1484,122,11020,413,59,80,256,34,0
118,1489,123,11020,413,59,80,256,34,0
119,1494,124,11020,413,59,80,256,34,0
120,1499,125,11020,413,59,80,256,34,0
121,1504,126,11020,413,59,80,256,34,0
122,1508,127,11010,413,59,80,256,34,0
123,1513,128,11000,413,59,80,256,34,0
124,1517,129,10990,413,59,80,256,34,0
125,1521,130,10980,413,59,80,256,34,0
126,1526,131,10980,413,59,80,256,34,0
127,1531,132,10980,413,59,80,256,34,0
128,1535,133,10970,413,59,80,256,34,0
129,1540,134,10970,412,59,80,256,34,0
130,1545,135,10970,411,59,80,256,34,0
131,1550,136,10970,410,59,80,256,34,0
132,1555,137,10970,409,59,80,256,34,0
133,1560,138,10970,408,59,80,256,34,0
134,1564,139,10960,408,59,80,256,34,0
135,1568,140,10950,408,59,80,256,34,0
136,1572,141,10940,408,59,80,256,34,0
137,1576,142,10930,408,59,80,256,34,0
138,1580,143,10920,408,59,80,256,34,0
139,1584,144,10910,408,59,80,256,34,0
140,1588,145,10900,407,59,80,256,34,0
141,1592,146,10890,406,59,80,256,34,0
142,1595,147,10870,406,59,80,256,34,0
143,1598,148,10850,406,59,80,256,34,0
144,1601,149,10830,406,59,80,256,34,0
145,1604,150,10810,406,59,80,256,34,0
146,1607,151,10790,406,59,80,256,34,0
147,1610,152,10770,406,59,80,256,34,0
148,1613,153,10750,406,59,80,256,34,0
149,1615,154,10720,406,59,80,256,34,0
150,1617,155,10690,406,59,80,256,34,0
151,1619,156,10660,406,59,80,256,34,0
152,1621,157,10630,406,59,80,256,34,0
153,1623,158,10600,406,59,80,256,34,0
154,1625,159,10570,406,59,80,256,34,0
155,1627,160,10540,406,59,80,256,34,0
156,1629,161,10510,406,59,80,256,34,0
157,1631,162,10480,406,59,80,256,34,0
158,1633,163,10450,406,59,80,256,34,0
159,1635,164,10420,406,59,80,256,34,0
160,1637,165,10390,406,59,80,256,34,0
161,1639,166,10360,406,59,80,256,34,0
162,1641,167,10330,406,59,80,256,34,0
163,1643,168,10300,406,59,80,256,34,0
164,1645,169,10270,406,59,80,256,34,0
165,1647,170,10240,406,59,80,256,34,0
166,1649,171,10210,406,59,80,256,34,0
167,1651,172,10180,406,59,80,256,34,0
168,1653,173,10150,406,59,80,256,34,0
169,1656,174,10130,406,59,80,256,34,0
170,1658,175,10100,406,59,80,256,34,0
171,1660,176,10070,406,59,80,256,34,0
172,1662,177,10040,406,59,80,256,34,0
173,1664,178,10010,406,59,80,256,34,0
174,1666,179,9980,406,59,80,256,34,0
175,1668,180,9950,406,59,80,256,34,0
176,1670,181,9920,406,59,80,256,34,0
177,1672,182,9890,406,59,80,256,34,0
178,1674,183,9860,406,59,80,256,34,0
179,1676,184,9830,406,59,80,256,34,0
180,1678,185,9800,406,59,80,256,34,0
181,1681,186,9770,406,59,80,256,34,0
182,1684,187,9750,406,59,80,256,34,0
183,1687,188,9730,406,59,80,256,34,0
184,1690,189,9710,406,59,80,256,34,0
185,1693,190,9690,406,59,80,256,34,0
186,1696,191,9670,406,59,80,256,34,0
187,1699,192,9650,406,59,80,256,34,0
188,1702,193,9630,406,59,80,256,34,0
189,1706,194,9620,406,59,80,256,34,0
190,1710,195,9610,406,59,80,256,34,0
191,1714,196,9600,406,59,80,256,34,0
192,1718,197,9590,406,59,80,256,34,0
193,1722,198,9580,406,59,80,256,34,0
194,1726,199,9570,406,59,80,256,34,0
195,1730,200,9560,406,59,80,256,34,0
196,1734,201,9550,406,59,80,256,34,0
197,1737,202,9530,406,59,80,256,34,0
198,1740,203,9510,406,59,80,256,34,0
199,1742,204,9480,406,59,80,256,34,0
200,1744,205,9450,406,59,80,256,34,0
201,1746,206,9420,405,59,80,256,34,0
202,1747,207,9380,404,59,80,256,34,0
203,1748,208,9340,403,59,80,256,34,0
204,1748,209,9290,403,59,80,256,34,0
205,1748,210,9240,403,59,80,256,34,0
206,1749,211,9200,402,59,80,256,34,0
207,1750,212,9160,401,59,80,256,34,0
208,1750,213,9110,401,59,80,256,34,0
209,1750,214,9060,401,59,80,256,34,0
210,1750,215,9010,401,59,80,256,34,0
211,1750,216,8960,401,59,80,256,34,0
212,1750,217,8910,401,59,80,256,34,0
213,1750,218,8860,401,59,80,256,34,0
214,1750,219,8810,401,59,80,256,34,0
215,1750,220,8760,401,59,80,256,34,0
216,1750,221,8710,401,59,80,256,34,0
217,1750,222,8660,401,59,80,256,34,0
218,1750,223,8610,401,59,80,256,34,0
219,1750,224,8560,401,59,80,256,34,0
220,1750,225,8510,401,59,80,256,34,0
221,1750,226,8460,401,59,80,256,34,0
222,1750,227,8410,401,59,80,256,34,0
223,1750,228,8360,401,59,80,256,34,0
224,1750,229,8310,401,59,80,256,34,0
225,1750,230,8260,401,59,80,256,34,0
226,1750,231,8210,401,59,80,256,34,0
227,1750,232,8160,401,59,80,256,34,0
228,1750,233,8110,401,59,80,256,34,0
229,1750,234,8060,401,59,80,256,34,0
230,1750,235,8010,401,59,80,256,34,0
231,1750,236,7960,401,59,80,256,34,0
232,1750,237,7910,401,59,80,256,34,0
233,1750,238,7860,401,59,80,256,34,0
234,1750,239,7810,401,59,80,256,34,0
235,1750,240,7760,401,59,80,256,34,0
236,1750,241,7710,401,59,80,256,34,0
237,1750,242,7660,401,59,80,256,34,0
238,1750,243,7610,401,59,80,256,34,0
239,1750,244,7560,401,59,80,256,34,0
240,1750,245,7510,401,59,80,256,34,0
241,1750,246,7460,401,59,80,256,34,0
242,1750,247,7410,401,59,80,256,34,0
243,1750,248,7360,401,59,80,256,34,0
244,1750,249,7310,401,59,80,256,34,0
245,1750,250,7260,401,59,80,256,34,0
246,1750,251,7210,401,59,80,256,34,0
247,1750,252,7160,401,59,80,256,34,0
248,1750,253,7110,401,59,80,256,34,0
249,1750,254,7060,401,59,80,256,34,0
